"Data","Nazwa","ISIN","Waluta","Kurs otwarcia","Kurs max","Kurs min","Kurs zamknięcia","Zmiana","Wolumen","Liczba Transakcji","Obrót","Liczba otwartych pozycji","Wartość otwartych pozycji","Cena nominalna"
"2019-10-11","06MAGNA","PLNFI0600010","PLN","0","0","0","0.2","0","0","0","0","0","0","0"
"2019-10-11","08OCTAVA","PLNFI0800016","PLN","0.852","0.852","0.85","0.85","-0.23","2042","4","1.74","0","0","0"
"2019-10-11","11BIT","PL11BTS00015","PLN","394","394","378","380","-2.44","5502","362","2104.35","0","0","0"
"2019-10-11","4FUNMEDIA","PL4FNMD00013","PLN","5.36","5.8","5.36","5.8","8.21","4107","19","22.56","0","0","0"
"2019-10-11","ABCDATA","PLABCDT00014","PLN","0","0","0","1.428","0","0","0","0","0","0","0"
"2019-10-11","ABPL","PLAB00000019","PLN","20.3","21","20.3","20.4","1.49","3226","26","66.59","0","0","0"
"2019-10-11","ACAUTOGAZ","PLACSA000014","PLN","39.4","39.4","39.4","39.4","-0.51","15","2","0.59","0","0","0"
"2019-10-11","ACTION","PLACTIN00018","PLN","3.06","3.12","2.98","3.12","1.96","5015","11","15.22","0","0","0"
"2019-10-11","ADIUVO","PLADVIV00015","PLN","6.64","7.1","6.64","7.04","6.02","1534","15","10.32","0","0","0"
"2019-10-11","AGORA","PLAGORA00067","PLN","9.6","9.6","9.32","9.32","0","2455","16","23.11","0","0","0"
"2019-10-11","AGROTON","CY0101062111","PLN","2.35","2.5","2.35","2.49","5.51","7310","17","17.46","0","0","0"
"2019-10-11","AILLERON","PLWNDMB00010","PLN","7.4","7.5","7.28","7.5","0","7741","8","56.92","0","0","0"
"2019-10-11","AIRWAY","PLAIRWY00017","PLN","0.69","0.69","0.69","0.69","0","111","1","0.08","0","0","0"
"2019-10-11","ALCHEMIA","PLGRBRN00012","PLN","0","0","0","4.76","0","0","0","0","0","0","0"
"2019-10-11","ALIOR","PLALIOR00045","PLN","34.46","36.18","34.06","36.06","6","520561","2999","18471.08","0","0","0"
"2019-10-11","ALTA","PLTRNSU00013","PLN","2.2","2.2","2.2","2.2","0","1","1","0","0","0","0"
"2019-10-11","ALTUSTFI","PLATTFI00018","PLN","1.72","1.768","1.68","1.728","-2.92","11900","19","20.13","0","0","0"
"2019-10-11","ALUMETAL","PLALMTL00023","PLN","35","35","34.5","35","0","294","8","10.18","0","0","0"
"2019-10-11","AMBRA","PLAMBRA00013","PLN","16.45","16.5","16.15","16.15","-0.62","2183","20","35.54","0","0","0"
"2019-10-11","AMICA","PLAMICA00010","PLN","112","112","111.2","112","0.72","1314","30","147.09","0","0","0"
"2019-10-11","AMPLI","PLAMPLI00019","PLN","0","0","0","0.22","0","0","0","0","0","0","0"
"2019-10-11","AMREST","ES0105375002","PLN","46.45","46.45","45.75","46.2","0.43","174314","1639","8029.9","0","0","0"
"2019-10-11","APATOR","PLAPATR00018","PLN","22.9","22.9","22.9","22.9","0.88","64","1","1.47","0","0","0"
"2019-10-11","APLISENS","PLAPLS000016","PLN","11.1","11.1","11.1","11.1","0.91","2","1","0.02","0","0","0"
"2019-10-11","APSENERGY","PLAPSEN00011","PLN","1.95","1.95","1.95","1.95","2.63","56","25","0.11","0","0","0"
"2019-10-11","ARCHICOM","PLARHCM00016","PLN","14.95","14.95","14.95","14.95","-0.33","165","2","2.47","0","0","0"
"2019-10-11","ARCTIC","PLARTPR00012","PLN","3.15","3.19","3.11","3.17","0.32","37666","68","118.79","0","0","0"
"2019-10-11","ARCUS","PLARCUS00040","PLN","2.54","2.64","2.54","2.64","0","1551","4","3.96","0","0","0"
"2019-10-11","ARTERIA","PLARTER00016","PLN","6.6","6.6","6.3","6.6","0","238","3","1.5","0","0","0"
"2019-10-11","ARTIFEX","PLARTFX00011","PLN","3.25","3.25","3.245","3.245","-0.15","529","5","1.72","0","0","0"
"2019-10-11","ASBIS","CY1000031710","PLN","2.32","2.35","2.305","2.34","0","8316","10","19.26","0","0","0"
"2019-10-11","ASMGROUP","PLASMGR00014","PLN","0","0","0","3.42","0","0","0","0","0","0","0"
"2019-10-11","ASSECOBS","PLABS0000018","PLN","28.6","28.6","28","28","-2.78","306","4","8.69","0","0","0"
"2019-10-11","ASSECOPOL","PLSOFTB00016","PLN","50.45","51.8","50.15","51.6","2.79","27073","352","1382.14","0","0","0"
"2019-10-11","ASSECOSEE","PLASSEE00014","PLN","19.6","19.6","19.6","19.6","0.51","1","1","0.02","0","0","0"
"2019-10-11","ASTARTA","NL0000686509","PLN","17.4","17.5","16.95","17","-1.73","8693","53","149.09","0","0","0"
"2019-10-11","ATAL","PLATAL000046","PLN","33.8","34.8","33.2","34.7","2.66","6728","46","232.48","0","0","0"
"2019-10-11","ATENDE","PLATMSI00016","PLN","3.32","3.32","3.26","3.32","0","1827","7","5.96","0","0","0"
"2019-10-11","ATLANTAPL","PLATLPL00018","PLN","4.61","4.7","4.61","4.7","2.17","1468","14","6.8","0","0","0"
"2019-10-11","ATLANTIS","EE3100143090","PLN","0","0","0","0.55","0","0","0","0","0","0","0"
"2019-10-11","ATLASEST","GB00B0WDBP88","PLN","1.52","1.565","1.52","1.565","4.33","6203","7","9.63","0","0","0"
"2019-10-11","ATM","PLATMSA00013","PLN","9.93","10","9.93","10","0.7","2294","11","22.89","0","0","0"
"2019-10-11","ATMGRUPA","PLATM0000021","PLN","4.1","4.15","4","4.05","-0.98","13839","19","56.32","0","0","0"
"2019-10-11","ATREM","PLATREM00017","PLN","2.02","2.02","2","2","-0.99","43","21","0.09","0","0","0"
"2019-10-11","AUGA","LT0000127466","PLN","0","0","0","2.12","0","0","0","0","0","0","0"
"2019-10-11","AUTOPARTN","PLATPRT00018","PLN","4.4","4.4","4.31","4.31","-1.6","136972","24","597.66","0","0","0"
"2019-10-11","AWBUD","PLINSTL00011","PLN","0","0","0","0.6","0","0","0","0","0","0","0"
"2019-10-11","BAHOLDING","PLMRVPL00016","PLN","1.45","1.46","1.424","1.46","0.14","33188","29","48.18","0","0","0"
"2019-10-11","BALTONA","PLBALTN00014","PLN","6.95","6.95","6.35","6.6","-5.04","19878","54","131.47","0","0","0"
"2019-10-11","BBIDEV","PLNFI1200018","PLN","0.5","0.502","0.496","0.5","0","58156","25","29.06","0","0","0"
"2019-10-11","BEDZIN","PLECBDZ00013","PLN","15.15","15.15","14.9","15.1","0.67","4931","8","73.61","0","0","0"
"2019-10-11","BENEFIT","PLBNFTS00018","PLN","672","698","664","696","3.57","249","72","170.75","0","0","0"
